file,relative_path,row_count,column_count,size_bytes
baseline_frequency_audit_summary.csv,results\data_final\baseline_frequency_audit_summary.csv,5,8,839
dfo_flood_country_month.csv,results\data_final\dfo_flood_country_month.csv,4545,6,98407
drought_wind_variant_frequency.csv,results\data_final\drought_wind_variant_frequency.csv,7,4,407
emdat_strict_country_month.csv,results\data_final\emdat_strict_country_month.csv,5370,5,104574
emdat_strict_events.csv,results\data_final\emdat_strict_events.csv,6026,65,4014749
emdat_verified_positive_country_month.csv,results\data_final\emdat_verified_positive_country_month.csv,4677,7,128573
emdat_verified_positive_country_year.csv,results\data_final\emdat_verified_positive_country_year.csv,3028,6,77810
emdat_verified_positive_events.csv,results\data_final\emdat_verified_positive_events.csv,5237,65,3475524
europe_physical_method_pairs.csv,results\data_final\europe_physical_method_pairs.csv,2280,6,106661
Fig01_mean_annual_headline_map.csv,results\data_final\Fig01_mean_annual_headline_map.csv,890,7,58657
Fig02_global_historical_timeseries.csv,results\data_final\Fig02_global_historical_timeseries.csv,170,9,19047
Fig03_baseline_frequency_audit.csv,results\data_final\Fig03_baseline_frequency_audit.csv,300,10,35902
Fig03_baseline_frequency_audit_full.csv,results\data_final\Fig03_baseline_frequency_audit_full.csv,6300,11,787318
Fig03_reported_event_seasonal_association.csv,results\data_final\Fig03_reported_event_seasonal_association.csv,48,7,4766
Fig04_europe_physical_method_agreement.csv,results\data_final\Fig04_europe_physical_method_agreement.csv,5,7,723
Fig05_validation_evidence_matrix.csv,results\data_final\Fig05_validation_evidence_matrix.csv,20,4,989
Fig06_country_coverage_diagnostic.csv,results\data_final\Fig06_country_coverage_diagnostic.csv,178,6,8633
FigS_drought_wind_variant_sensitivity.csv,results\data_final\FigS_drought_wind_variant_sensitivity.csv,7,4,407
FigS_emdat_exclusion_audit.csv,results\data_final\FigS_emdat_exclusion_audit.csv,18,4,814
FigS_emdat_positive_only_binned.csv,results\data_final\FigS_emdat_positive_only_binned.csv,38,5,1971
FigS_emdat_positive_only_drought_annual.csv,results\data_final\FigS_emdat_positive_only_drought_annual.csv,7,4,338
FigS_emdat_report_coverage_map.csv,results\data_final\FigS_emdat_report_coverage_map.csv,168,2,1339
FigS_exact_year_nonsynchronous.csv,results\data_final\FigS_exact_year_nonsynchronous.csv,5,7,435
FigS_future_ssp370_scenario_consistency.csv,results\data_final\FigS_future_ssp370_scenario_consistency.csv,10,7,1124
FigS_global_seasonal_area_weighted.csv,results\data_final\FigS_global_seasonal_area_weighted.csv,60,6,4459
FigS_inter_model_spread.csv,results\data_final\FigS_inter_model_spread.csv,890,3,24122
FigS_model_map_gfdl-esm4.csv,results\data_final\FigS_model_map_gfdl-esm4.csv,890,5,41992
FigS_model_map_ipsl-cm6a-lr.csv,results\data_final\FigS_model_map_ipsl-cm6a-lr.csv,890,5,45018
FigS_model_map_mpi-esm1-2-hr.csv,results\data_final\FigS_model_map_mpi-esm1-2-hr.csv,890,5,45754
FigS_model_map_mri-esm2-0.csv,results\data_final\FigS_model_map_mri-esm2-0.csv,890,5,43010
FigS_model_map_ukesm1-0-ll.csv,results\data_final\FigS_model_map_ukesm1-0-ll.csv,890,5,43994
glexis_country_climatology.csv,results\data_final\glexis_country_climatology.csv,890,7,58657
glexis_country_month_climatology.csv,results\data_final\glexis_country_month_climatology.csv,10680,9,853757
glexis_country_month_ensemble.csv,results\data_final\glexis_country_month_ensemble.csv,363120,12,32611207
glexis_country_year_ensemble.csv,results\data_final\glexis_country_year_ensemble.csv,30260,11,2745783
glexis_country_year_model.csv,results\data_final\glexis_country_year_model.csv,151300,11,17203931
glexis_global_seasonal_area_weighted.csv,results\data_final\glexis_global_seasonal_area_weighted.csv,60,6,4459
glexis_global_seasonal_model_area_weighted.csv,results\data_final\glexis_global_seasonal_model_area_weighted.csv,300,5,14983
glexis_global_year_area_weighted.csv,results\data_final\glexis_global_year_area_weighted.csv,170,9,19047
glexis_global_year_model_area_weighted.csv,results\data_final\glexis_global_year_model_area_weighted.csv,850,5,43975
physical_reference_europe_country_month.csv,results\data_final\physical_reference_europe_country_month.csv,77520,9,4621390
reported_event_seasonal_association.csv,results\data_final\reported_event_seasonal_association.csv,48,7,4766
user_independent_positive_cases.csv,results\data_final\user_independent_positive_cases.csv,8,17,2338
